"Criteria ID","Name","Canonical Name","Parent ID","Country Code","Target Type","Status"
2356,"India","India",,"IN","Country","Active"
20452,"Andaman and Nicobar Islands","Andaman and Nicobar Islands,India",2356,"IN","UT","Active"
20453,"Andhra Pradesh","Andhra Pradesh,India",2356,"IN","State","Active"
20454,"Assam","Assam,India",2356,"IN","State","Active"
20455,"Bihar","Bihar,India",2356,"IN","State","Active"
20456,"Delhi","Delhi,India",2356,"IN","UT","Active"
20457,"Gujarat","Gujarat,India",2356,"IN","State","Active"
20458,"Haryana","Haryana,India",2356,"IN","State","Active"
20459,"Jammu and Kashmir","Jammu and Kashmir,India",2356,"IN","State","Active"
20460,"Karnataka","Karnataka,India",2356,"IN","State","Active"
20461,"Kerala","Kerala,India",2356,"IN","State","Active"
20462,"Maharashtra","Maharashtra,India",2356,"IN","State","Active"
20463,"Meghalaya","Meghalaya,India",2356,"IN","State","Active"
20464,"Madhya Pradesh","Madhya Pradesh,India",2356,"IN","State","Active"
20465,"Odisha","Odisha,India",2356,"IN","State","Active"
20466,"Punjab","Punjab,India",2356,"IN","State","Active"
